site,latitude,longitude,x,y
ACO,19.635501,-98.912003,59,12
AJM,19.272100,-99.207658,30,48
AJU,19.154674,-99.162459,34,60
ATI,19.576963,-99.254133,25,18
BJU,19.371612,-99.158969,35,38
CAM,19.468404,-99.169794,34,29
CCA,19.3262,-99.1761,33,43
CHO,19.266948,-98.886088,62,49
CUA,19.365313,-99.291705,21,39
CUT,19.722186,-99.198602,31,3
FAC,19.482473,-99.243524,26,27
GAM,19.4827,-99.094517,41,27
HGM,19.411617,-99.152207,35,34
INN,19.291968,-99.38052,12,46
IZT,19.384413,-99.117641,39,37
LLA,19.578792,-99.039644,47,18
LPR,19.534727,-99.11772,39,22
MER,19.42461,-99.119594,39,33
MGH,19.404050,-99.202603,30,35
MON,19.460415,-98.902853,60,29
MPA,19.176900,-98.990189,51,58
NEZ,19.393734,-99.028212,48,36
PED,19.325146,-99.204136,30,43
SAG,19.532968,-99.030324,47,22
SFE,19.357357,-99.262865,24,40
TAH,19.246459,-99.010564,49,51
TLA,19.529077,-99.204597,30,23
TLI,19.602542,-99.177173,33,15
UAX,19.304441,-99.103629,40,45
UIZ,19.360794,-99.07388,43,39
VIF,19.658223,-99.09659,41,10
XAL,19.525995,-99.0824,42,23
FAR,19.473692,-99.046176,46,28
SAC,19.34561,-99.009381,50,41